Date,Open,High,Low,Close,Volume,20 Day MA,,,,,,,,,#N/A
6/12/2015 16:00:00,94.93,95.34,94.12,94.42,1468403,94.6765,,,,,,,,,
6/15/2015 16:00:00,92.87,93.59,91.66,93.43,2721993,95.01,,,,,,,,,
6/16/2015 16:00:00,94.21,95.61,93.69,95.27,2291860,95.357,,,,,,,,,
6/17/2015 16:00:00,95.07,95.13,93.96,94.27,1415017,95.5,,,,,,,,,
6/18/2015 16:00:00,94.7,95.34,94.37,94.74,1280446,96.577,,,,,,,,,
6/19/2015 16:00:00,96.24,96.42,93.82,93.87,2830686,97.5785,,,,,,,,,
6/22/2015 16:00:00,95.04,96.69,94.19,96.41,2390415,98.4125,,,,,,,,,
6/23/2015 16:00:00,96.34,97.39,95.75,97.31,2232348,99.2175,,,,,,,,,
6/24/2015 16:00:00,100.01,100.89,96.4,96.94,11019828,99.927,,,,,,,,,
6/25/2015 16:00:00,95.48,96,93.46,94.89,5946172,100.585,,,,,,,,,
6/26/2015 16:00:00,95.31,95.31,93.09,93.09,4330671,101.3075,,,,,,,,,
6/29/2015 16:00:00,91.51,92.91,91.12,92.23,3510841,101.9745,,,,,,,,,
6/30/2015 16:00:00,93.36,94.36,92.79,93.85,2411494,102.708,,,,,,,,,
7/1/2015 16:00:00,94.81,95.24,93.22,93.64,2099917,103.3695,,,,,,,,,
7/2/2015 16:00:00,94,94.2,93.21,94.04,1579033,104.2655,,,,,,,,,
7/6/2015 16:00:00,93.47,94.93,93.34,94.57,1686912,105.279,,,,,,,,,
7/7/2015 16:00:00,95.01,95.43,92.62,94.09,3081896,106.1785,,,,,,,,,
7/8/2015 16:00:00,93.47,94,92.28,93.51,1855813,107.5315,,,,,,,,,
7/9/2015 16:00:00,94.9,95.85,94.29,95.73,2390188,109.0415,,,,,,,,,
7/10/2015 16:00:00,97.52,98.5,96.9,97.23,3090942,110.5775,,,,,,,,,
7/13/2015 16:00:00,98.1,102.31,98.08,101.09,4743573,111.892,,,,,,,,,
7/14/2015 16:00:00,101.27,101.64,99.65,100.37,2819491,112.989,,,,,,,,,
7/15/2015 16:00:00,99.97,100.75,97.05,98.13,30898594,114.1075,,,,,,,,,
7/16/2015 16:00:00,111.02,116.49,107.68,115.81,63460992,115.2265,,,,,,,,,
7/17/2015 16:00:00,117.34,117.88,114.24,114.77,25136948,115.6225,,,,,,,,,
7/20/2015 16:00:00,114.7,114.7,110.14,110.55,22676913,116.0535,,,,,,,,,
7/21/2015 16:00:00,110.21,113.71,109.32,112.51,14085422,116.794,,,,,,,,,
7/22/2015 16:00:00,112.14,113.88,110.56,111.5,10500548,117.371,,,,,,,,,
7/23/2015 16:00:00,110.91,112.18,109.84,110.1,8306774,117.899,,,,,,,,,
7/24/2015 16:00:00,111.55,111.68,108.9,109.34,8125065,118.0185,,,,,,,,,
7/27/2015 16:00:00,107.79,109.86,106.25,106.43,11302624,117.7495,,,,,,,,,
7/28/2015 16:00:00,107.29,107.94,103.88,106.9,11155945,117.272,,,,,,,,,
7/29/2015 16:00:00,106.83,107.75,105.4,107.08,6695640,117.003,,,,,,,,,
7/30/2015 16:00:00,106.4,111.9,105.4,111.56,14229196,117.1555,,,,,,,,,
7/31/2015 16:00:00,111.95,115,111.15,114.31,16349071,117.4605,,,,,,,,,
8/3/2015 16:00:00,114.6,114.6,111.78,112.56,10144817,117.6265,,,,,,,,,
8/4/2015 16:00:00,113.15,122.79,113,121.15,29653323,117.75,,,,,,,,,
