Date,Open,High,Low,Close,Volume,20 Day MA,,,,,,,,,#N/A
6/12/2015 16:00:00,79.06,80.26,79.06,79.86,1794851,80.8865,,,,,,,,,
6/15/2015 16:00:00,79.17,79.25,78.35,78.9,2459672,80.9655,,,,,,,,,
6/16/2015 16:00:00,78.93,80.43,78.83,79.94,3579416,81.115,,,,,,,,,
6/17/2015 16:00:00,79.5,80,77.74,77.91,6464247,81.224,,,,,,,,,
6/18/2015 16:00:00,77.9,79.94,77.82,79.39,3858561,81.4545,,,,,,,,,
6/19/2015 16:00:00,79.45,79.94,79.06,79.7,3155595,81.59,,,,,,,,,
6/22/2015 16:00:00,79.91,82.66,79.85,82.28,5829955,81.7095,,,,,,,,,
6/23/2015 16:00:00,82.17,83.77,82.1,83.55,4944995,81.655,,,,,,,,,
6/24/2015 16:00:00,83.29,84.36,82.97,83.4,4311199,81.514,,,,,,,,,
6/25/2015 16:00:00,83.67,84.27,83.49,83.94,3052904,81.376,,,,,,,,,
6/26/2015 16:00:00,83.8,84.22,82.27,82.74,5914717,81.228,,,,,,,,,
6/29/2015 16:00:00,81.3,82.06,81.15,81.28,4060269,81.0875,,,,,,,,,
6/30/2015 16:00:00,81.56,82.34,80.95,81.01,4086360,81.053,,,,,,,,,
7/1/2015 16:00:00,81.6,81.92,80.71,80.94,2944498,81.015,,,,,,,,,
7/2/2015 16:00:00,81.19,81.29,80.38,80.75,2200892,81.0325,,,,,,,,,
7/6/2015 16:00:00,80.02,81.19,80,80.5,2590913,81.0945,,,,,,,,,
7/7/2015 16:00:00,80.77,81,78.94,80.59,2781935,81.1395,,,,,,,,,
7/8/2015 16:00:00,79.95,80.52,79.4,79.99,4157628,81.213,,,,,,,,,
7/9/2015 16:00:00,80.74,81.67,80.41,80.47,3068877,81.3825,,,,,,,,,
7/10/2015 16:00:00,81.5,81.5,80.47,80.59,3025163,81.4685,,,,,,,,,
7/13/2015 16:00:00,81.09,81.66,80.82,81.44,4597216,81.5735,,,,,,,,,
7/14/2015 16:00:00,81.67,82.35,81.24,81.89,4428123,81.6825,,,,,,,,,
7/15/2015 16:00:00,82.2,82.32,81.71,82.12,3214918,81.783,,,,,,,,,
7/16/2015 16:00:00,82.65,82.67,82.2,82.52,2058116,81.868,,,,,,,,,
7/17/2015 16:00:00,82.17,82.73,81.48,82.1,2402732,81.9575,,,,,,,,,
7/20/2015 16:00:00,82,82.19,81.45,82.09,1995809,82.1585,,,,,,,,,
7/21/2015 16:00:00,81.8,82.1,81.01,81.19,3916364,82.3925,,,,,,,,,
7/22/2015 16:00:00,81.38,81.75,80.65,80.73,2601230,82.6555,,,,,,,,,
7/23/2015 16:00:00,80.8,81.4,80.48,80.64,2579457,82.893,,,,,,,,,
7/24/2015 16:00:00,81,81.36,80.54,80.98,3575251,82.9955,,,,,,,,,
7/27/2015 16:00:00,80.53,80.7,79.73,79.93,2762686,82.89,,,,,,,,,
7/28/2015 16:00:00,80.07,80.65,79.13,80.59,2681012,82.607,,,,,,,,,
7/29/2015 16:00:00,80.07,80.54,79.56,80.25,2178014,82.306,,,,,,,,,
7/30/2015 16:00:00,79.9,81.8,79.2,81.29,2072732,82.16,,,,,,,,,
7/31/2015 16:00:00,81.8,82.82,81.37,81.99,2893613,82.041,,,,,,,,,
8/3/2015 16:00:00,82.18,82.26,80.7,81.4,2073985,81.9115,,,,,,,,,
8/4/2015 16:00:00,81.43,82.18,81.17,82.06,1375432,81.77,,,,,,,,,
8/5/2015 16:00:00,82.78,84.12,82.17,83.38,1773755,81.4665,,,,,,,,,
8/6/2015 16:00:00,83.47,83.63,82.07,82.19,2272316,81.16,,,,,,,,,
8/7/2015 16:00:00,81.87,82.92,81.48,82.69,1990308,80.9665,,,,,,,,,
8/10/2015 16:00:00,83.39,83.92,83.19,83.62,1999640,80.6765,,,,,,,,,
8/11/2015 16:00:00,84.06,84.86,83.05,83.9,3103220,80.4845,,,,,,,,,
8/12/2015 16:00:00,83.16,84.14,82.08,83.82,2218544,80.2155,,,,,,,,,
8/13/2015 16:00:00,83.82,84.83,83,84.31,1963567,79.9595,,,,,,,,,
8/14/2015 16:00:00,83.96,86.38,83.96,86.12,2610165,79.7035,,,,,,,,,
8/17/2015 16:00:00,86,86.78,84.9,86.77,1788317,79.3205,,,,,,,,,
8/18/2015 16:00:00,86.98,87.25,86.03,86.45,1468312,78.9585,,,,,,,,,
8/19/2015 16:00:00,86.12,86.47,85.21,85.48,2461363,78.6625,,,,,,,,,
8/20/2015 16:00:00,84.66,84.9,82.69,82.69,3108772,78.404,,,,,,,,,
8/21/2015 16:00:00,81.94,82.16,78.87,78.87,6807377,78.332,,,,,,,,,
8/24/2015 16:00:00,75,77.82,71.33,74.27,6938457,78.5545,,,,,,,,,
8/25/2015 16:00:00,77.02,78.33,74.47,74.57,7465401,79.074,,,,,,,,,
8/26/2015 16:00:00,76.14,77.61,74.56,77.33,4243640,79.6205,,,,,,,,,
8/27/2015 16:00:00,78.41,79.28,77.39,78.91,5197157,79.9495,,,,,,,,,
8/28/2015 16:00:00,78.42,79.45,77.75,79.4,3316397,80.1605,,,,,,,,,
8/31/2015 16:00:00,79.38,79.7,78.3,78.57,2313076,80.2165,,,,,,,,,
9/1/2015 16:00:00,77.07,77.82,75.63,75.99,3206418,80.2795,,,,,,,,,
9/2/2015 16:00:00,77,77.33,75.54,77.25,3533790,80.591,,,,,,,,,
9/3/2015 16:00:00,77.6,79.55,77.36,78.32,3480072,80.916,,,,,,,,,
9/4/2015 16:00:00,76.99,78.27,76.39,76.89,2326519,81.1995,,,,,,,,,
9/8/2015 16:00:00,78.64,79.91,78.13,79.78,2670642,81.647,,,,,,,,,
9/9/2015 16:00:00,80.79,81.51,78.23,78.52,2460260,81.9155,,,,,,,,,
9/10/2015 16:00:00,78.63,78.97,78.01,78.7,3541000,82.022,,,,,,,,,
9/11/2015 16:00:00,78.44,79.23,77.94,79.19,2913733,82.2,,,,,,,,,
9/14/2015 16:00:00,79.35,79.41,78.28,78.46,2545884,82.4315,,,,,,,,,
9/15/2015 16:00:00,78.61,80.11,78.3,79.53,3436283,82.7045,,,,,,,,,
9/16/2015 16:00:00,79.51,80.67,79.32,80.53,2509817,82.9105,,,,,,,,,
9/17/2015 16:00:00,80.45,81.88,79.7,80.31,4892893,83.074,,,,,,,,,
